PPSX00| xenon| 1.34| 6.507751937984497| 116.27906976744185| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [808.1230275025897, 51.59141978591039, 214.438423802163, 0.9536551694583472, 0.10184807122852525, 0.4037098100241591, 0.4233289169432767]
PPSX00| xenon| 1.34| 8.027131782945737| 116.27906976744185| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [735.7738078289289, 57.93936404842835, 219.65962597395418, 0.9519339582774439, 0.10642337708215324, 0.38407883131596304, 0.403472140032662]
PPSX00| xenon| 1.34| 4.988372093023257| 131.7829457364341| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1044.432741395775, 51.1102877655431, 271.52342527809327, 0.9643185299672336, 0.09082405865488413, 0.4652864388743234, 0.4825028498520437]
PPSX00| xenon| 1.34| 6.507751937984497| 131.7829457364341| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [955.0284455762313, 60.970015413959885, 293.7239995875412, 0.9723714311030438, 0.09782273761964008, 0.4582422530346469, 0.47126256323144283]
PPSX00| xenon| 1.34| 8.027131782945737| 131.7829457364341| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [882.6237005571788, 69.50322960700362, 308.5111553275021, 0.9753235486073901, 0.10291831191753294, 0.4455610831733783, 0.4568341283357403]
PPSX00| xenon| 1.34| 4.988372093023257| 147.28682170542635| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1189.8406551368444, 58.2259592876379, 349.20851726788715, 0.9731048575096347, 0.08619184668702107, 0.5030301331313917, 0.5169331231361276]
PPSX00| xenon| 1.34| 6.507751937984497| 147.28682170542635| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1098.421717336412, 70.12439194585608, 384.7712629034913, 0.981916600431685, 0.0931317409914226, 0.5017713313382005, 0.5110121685666625]
PPSX00| xenon| 1.34| 8.027131782945737| 147.28682170542635| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1025.9929195426405, 80.79300546440797, 412.3474485362798, 0.9860383987358634, 0.09829075494862605, 0.4946477593987453, 0.50165161928065]
PPSX00| xenon| 1.34| 3.8488372093023258| 113.95348837209302| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [958.0136404148041, 36.1718101386897, 181.90931062059826, 0.9343853465407523, 0.08831898214480885, 0.41501592299917567, 0.44415928025373314]
PPSX00| xenon| 1.34| 6.6976744186046515| 113.95348837209302| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [776.0493369462774, 50.989690015990206, 204.41945544627507, 0.9494858318604493, 0.10299891670840808, 0.392067642192039, 0.41292626918277486]
PPSX00| xenon| 1.34| 9.546511627906977| 113.95348837209302| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [650.4533081530066, 60.915784283690655, 207.10136016630904, 0.9384303120977198, 0.10984403856120911, 0.3504544915801371, 0.3734475400701291]
PPSX00| xenon| 1.34| 3.8488372093023258| 131.0077519379845| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1126.7392436172652, 42.54239843420998, 247.52277622626536, 0.9498810764712403, 0.08338957174438019, 0.4608654761798342, 0.4851822902840909]
PPSX00| xenon| 1.34| 6.6976744186046515| 131.0077519379845| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [938.0159013598411, 61.6315712975333, 291.65191063052646, 0.9722716593235355, 0.09876323825930042, 0.45440649842915576, 0.46736577588336986]
PPSX00| xenon| 1.34| 9.546511627906977| 131.0077519379845| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [812.4582371841809, 76.08775310306703, 311.16010336001295, 0.9744754675998301, 0.10704635677630933, 0.4265912556566164, 0.4377650026504278]
PPSX00| xenon| 1.34| 3.8488372093023258| 148.06201550387595| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1292.177115485412, 48.788851551905076, 322.49215401986595, 0.95887611192115, 0.07840288416440595, 0.49692757431949147, 0.5182396016977372]
PPSX00| xenon| 1.34| 6.6976744186046515| 148.06201550387595| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1095.6745372793062, 71.99040364382508, 393.6092191117815, 0.9829466060753582, 0.09360809672900564, 0.5030764595791796, 0.5118044626938881]
PPSX00| xenon| 1.34| 9.546511627906977| 148.06201550387595| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [971.0140325530751, 90.93670614328829, 438.1981271997591, 0.9884011001575261, 0.10219401614146441, 0.48673209532853695, 0.49244390283556355]
PPSX00| xenon| 1.34| 3.8488372093023258| 109.30232558139535| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [911.2414008138472, 34.40582633717037, 165.65646579999733, 0.9283164706172429, 0.08958769114809378, 0.400424644635477, 0.43134497481148043]
PPSX00| xenon| 1.34| 5.937984496124031| 109.30232558139535| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [771.0595174189734, 44.91547210282309, 180.64975389466755, 0.9403412949407366, 0.10118318250619554, 0.3826795450626716, 0.40695814075334136]
PPSX00| xenon| 1.34| 8.027131782945736| 109.30232558139535| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [668.6668107735244, 52.65494553390859, 184.91596789618373, 0.9339282923763793, 0.10737241080856022, 0.35216118258958307, 0.37707518389180533]
PPSX00| xenon| 1.34| 3.8488372093023258| 122.48062015503875| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1042.870264445679, 39.37574958586289, 213.53932327023688, 0.9432357843312192, 0.08588505678836629, 0.4393259970950211, 0.4657647688870454]
PPSX00| xenon| 1.34| 5.937984496124031| 122.48062015503875| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [898.0419608595414, 52.312406148841774, 239.74539307121245, 0.9611475579301105, 0.09808710467924149, 0.4320634772028935, 0.44952876760501614]
